,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
0,Player 1,ARGENTINA,SERBIA,PORTUGAL,GERMANY,SERBIA,BRAZIL,BELGIUM,FRANCE,ARGENTINA,PORTUGAL
1,Player 2,ARGENTINA,ENGLAND,ARGENTINA,CROATIA,MEXICO,USA,SERBIA,PORTUGAL,FRANCE,AUSTRALIA
2,Player 3,SPAIN,BRAZIL,SPAIN,SPAIN,SPAIN,NETHERLANDS,NETHERLANDS,BRAZIL,SOUTH KOREA,WALES
3,Player 4,SENEGAL,DENMARK,WALES,POLAND,SWITZERLAND,GERMANY,BELGIUM,BELGIUM,SERBIA,POLAND
4,Player 5,ENGLAND,SPAIN,ENGLAND,FRANCE,FRANCE,FRANCE,ENGLAND,SPAIN,SPAIN,SPAIN
5,Player 6,SPAIN,POLAND,SPAIN,CROATIA,SAUDI ARABIA,SPAIN,ENGLAND,ENGLAND,ENGLAND,BELGIUM
6,Player 7,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,GERMANY,GERMANY,GERMANY,BRAZIL,BRAZIL
7,Player 8,ARGENTINA,FRANCE,ARGENTINA,GERMANY,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,FRANCE
8,Player 9,BELGIUM,DENMARK,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,CROATIA,CROATIA,DENMARK
9,Player 10,ARGENTINA,ARGENTINA,QATAR,URUGUAY,BELGIUM,USA,SWITZERLAND,ECUADOR,MEXICO,TUNISIA
10,Player 11,ARGENTINA,SPAIN,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,PORTUGAL,URUGUAY,CROATIA,GERMANY
11,Player 12,ARGENTINA,NETHERLANDS,WALES,MEXICO,BRAZIL,URUGUAY,CROATIA,FRANCE,ECUADOR,ENGLAND
12,Player 13,DENMARK,FRANCE,DENMARK,DENMARK,DENMARK,NETHERLANDS,NETHERLANDS,NETHERLANDS,NETHERLANDS,BELGIUM
13,Player 14,ECUADOR,PORTUGAL,USA,POLAND,DENMARK,GHANA,GHANA,PORTUGAL,NETHERLANDS,NETHERLANDS
14,Player 15,QATAR,USA,PORTUGAL,NETHERLANDS,BELGIUM,BRAZIL,ENGLAND,CAMEROON,GERMANY,IRAN
15,Player 16,AUSTRALIA,CANADA,ENGLAND,CANADA,GERMANY,USA,SWITZERLAND,BELGIUM,AUSTRALIA,ENGLAND
16,Player 17,PORTUGAL,ARGENTINA,QATAR,CROATIA,NETHERLANDS,BRAZIL,ENGLAND,GERMANY,SPAIN,ARGENTINA
17,Player 18,NETHERLANDS,SERBIA,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,URUGUAY,PORTUGAL,ENGLAND
18,Player 19,CROATIA,PORTUGAL,ENGLAND,FRANCE,GERMANY,BRAZIL,ECUADOR,NETHERLANDS,MEXICO,DENMARK
19,Player 20,PORTUGAL,NETHERLANDS,URUGUAY,SERBIA,CROATIA,POLAND,GERMANY,ENGLAND,URUGUAY,DENMARK
20,Player 21,URUGUAY,GERMANY,POLAND,POLAND,NETHERLANDS,CROATIA,NETHERLANDS,WALES,URUGUAY,GERMANY
21,Player 22,NETHERLANDS,PORTUGAL,NETHERLANDS,ARGENTINA,ARGENTINA,ENGLAND,ENGLAND,FRANCE,FRANCE,CANADA
22,Player 23,ENGLAND,PORTUGAL,GERMANY,BRAZIL,BRAZIL,DENMARK,BELGIUM,USA,WALES,CROATIA
23,Player 24,MEXICO,MEXICO,MEXICO,MEXICO,USA,USA,PORTUGAL,CAMEROON,DENMARK,MOROCCO
24,Player 25,ARGENTINA,GERMANY,BRAZIL,GERMANY,BELGIUM,ENGLAND,FRANCE,PORTUGAL,ARGENTINA,BRAZIL
25,Player 26,FRANCE,ENGLAND,ARGENTINA,ARGENTINA,FRANCE,GERMANY,PORTUGAL,PORTUGAL,ENGLAND,ENGLAND
26,Player 27,ARGENTINA,SWITZERLAND,ENGLAND,URUGUAY,USA,JAPAN,SERBIA,DENMARK,MOROCCO,NETHERLANDS
27,Player 28,DENMARK,POLAND,DENMARK,BELGIUM,BELGIUM,URUGUAY,GHANA,BRAZIL,BRAZIL,BRAZIL
28,Player 29,SERBIA,QATAR,SERBIA,FRANCE,FRANCE,FRANCE,DENMARK,POLAND,ENGLAND,ENGLAND
29,Player 30,NETHERLANDS,POLAND,NETHERLANDS,URUGUAY,URUGUAY,DENMARK,DENMARK,FRANCE,FRANCE,FRANCE
30,Player 31,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,DENMARK,BRAZIL,BRAZIL,BRAZIL,DENMARK
31,Player 32,ARGENTINA,BRAZIL,BRAZIL,FRANCE,GERMANY,ARGENTINA,ARGENTINA,BRAZIL,GERMANY,FRANCE
32,Player 33,ARGENTINA,PORTUGAL,CROATIA,ENGLAND,FRANCE,GERMANY,POLAND,SERBIA,URUGUAY,SPAIN
33,Player 34,NETHERLANDS,PORTUGAL,NETHERLANDS,FRANCE,FRANCE,GERMANY,GERMANY,ARGENTINA,ARGENTINA,SPAIN
34,Player 35,ARGENTINA,CANADA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,FRANCE,BRAZIL,BRAZIL
35,Player 36,ARGENTINA,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,SERBIA,SERBIA,FRANCE
36,Player 37,JAPAN,SWITZERLAND,QATAR,BELGIUM,BRAZIL,COSTA RICA,JAPAN,JAPAN,AUSTRALIA,SWITZERLAND
