,<b>Shareholder</b>
1,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player108_general.html">Player 108</a>
2,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player108_general.html">Player 108</a>
3,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player135_general.html">Player 135</a>
4,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player146_general.html">Player 146</a>
5,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player146_general.html">Player 146</a>
6,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player148_general.html">Player 148</a>
7,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player148_general.html">Player 148</a>
8,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player148_general.html">Player 148</a>
9,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player157_general.html">Player 157</a>
10,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player157_general.html">Player 157</a>
11,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player173_general.html">Player 173</a>
12,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player201_general.html">Player 201</a>
13,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player202_general.html">Player 202</a>
14,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player202_general.html">Player 202</a>
15,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player211_general.html">Player 211</a>
16,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player211_general.html">Player 211</a>
17,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player34_general.html">Player 34</a>
18,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player38_general.html">Player 38</a>
19,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player50_general.html">Player 50</a>
20,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player65_general.html">Player 65</a>
21,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player65_general.html">Player 65</a>
22,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player70_general.html">Player 70</a>
23,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player77_general.html">Player 77</a>
24,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player78_general.html">Player 78</a>
25,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player91_general.html">Player 91</a>
26,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player97_general.html">Player 97</a>
