,<b>Shareholder</b>
1,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player11_general.html">Player 11</a>
2,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player120_general.html">Player 120</a>
3,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player142_general.html">Player 142</a>
4,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player150_general.html">Player 150</a>
5,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player150_general.html">Player 150</a>
6,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player162_general.html">Player 162</a>
7,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player162_general.html">Player 162</a>
8,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player206_general.html">Player 206</a>
9,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player206_general.html">Player 206</a>
10,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player21_general.html">Player 21</a>
11,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player21_general.html">Player 21</a>
12,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player5_general.html">Player 5</a>
13,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player55_general.html">Player 55</a>
14,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player58_general.html">Player 58</a>
15,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player58_general.html">Player 58</a>
16,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player88_general.html">Player 88</a>
17,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player88_general.html">Player 88</a>
18,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player88_general.html">Player 88</a>
19,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player91_general.html">Player 91</a>
20,<a href="https://naiimic.github.io/content/fantasyshares_game/players_html/player95_general.html">Player 95</a>
