,name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
0,Player 26,ARGENTINA,MOROCCO,FRANCE,BRAZIL,CROATIA,MOROCCO,NETHERLANDS,NETHERLANDS,NETHERLANDS,CROATIA
1,Player 72,ARGENTINA,PORTUGAL,FRANCE,CROATIA,MOROCCO,ENGLAND,NETHERLANDS,BRAZIL,PORTUGAL,PORTUGAL
2,Player 89,POLAND,ARGENTINA,POLAND,MOROCCO,MOROCCO,MOROCCO,JAPAN,JAPAN,SOUTH KOREA,ARGENTINA
3,Player 86,CROATIA,BRAZIL,JAPAN,JAPAN,MOROCCO,FRANCE,ENGLAND,PORTUGAL,ARGENTINA,ARGENTINA
4,Player 28,IRAN,MOROCCO,POLAND,ARGENTINA,ARGENTINA,ARGENTINA,JAPAN,JAPAN,FRANCE,CROATIA
5,Player 30,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,CROATIA,CROATIA,CROATIA
6,Player 76,URUGUAY,ARGENTINA,URUGUAY,TUNISIA,TUNISIA,MEXICO,MEXICO,GERMANY,GERMANY,ARGENTINA
7,Player 60,JAPAN,CROATIA,SAUDI ARABIA,NETHERLANDS,ARGENTINA,ARGENTINA,FRANCE,JAPAN,PORTUGAL,BRAZIL
8,Player 61,ARGENTINA,SENEGAL,MOROCCO,AUSTRALIA,JAPAN,FRANCE,SENEGAL,SAUDI ARABIA,ARGENTINA,AUSTRALIA
9,Player 78,ENGLAND,NETHERLANDS,COSTA RICA,GHANA,IRAN,SAUDI ARABIA,AUSTRALIA,SENEGAL,SWITZERLAND,USA
10,Player 77,NETHERLANDS,USA,POLAND,SPAIN,MOROCCO,JAPAN,MOROCCO,PORTUGAL,SOUTH KOREA,AUSTRALIA
11,Player 22,WALES,MEXICO,SERBIA,DENMARK,SAUDI ARABIA,IRAN,GHANA,COSTA RICA,URUGUAY,TUNISIA
12,Player 36,POLAND,URUGUAY,SOUTH KOREA,SPAIN,BELGIUM,CAMEROON,ECUADOR,GERMANY,MEXICO,TUNISIA
13,Player 13,URUGUAY,BELGIUM,USA,SENEGAL,ARGENTINA,POLAND,FRANCE,MEXICO,SOUTH KOREA,AUSTRALIA
14,Player 82,BRAZIL,JAPAN,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,MOROCCO,SOUTH KOREA
15,Player 99,CROATIA,COSTA RICA,CROATIA,CROATIA,CROATIA,MOROCCO,MOROCCO,MOROCCO,MOROCCO,SAUDI ARABIA
16,Player 94,BRAZIL,PORTUGAL,ARGENTINA,ARGENTINA,MEXICO,FRANCE,USA,TUNISIA,ECUADOR,CROATIA
